Feature	DE41NGSUKBR126214	DE68NGSUKBR126213	DE14NGSUKBR126215	DE03NGSUKBR126219	DE57NGSUKBR126217	DE95NGSUKBR126212	DE73NGSUKBR126220	DE84NGSUKBR126216	DE71NGSUKBR117720	DE87NGSUKBR117723
1810055G02Rik	0.0001	0.0001	2.40612	2.5879	2.793	0.441102	5.45728	0.846872	1.79417	0.406442
1810058I24Rik	7.65531	12.3186	12.2489	7.44003	6.10956	10.2314	17.2041	10.1614	8.19042	19.8093
1810059H22Rik	2.01906	0.298127	0.546922	0.107925	0.43649	2.91072	0.0001	0.96784	0.234109	2.84437
1810062O18Rik	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.468119	0.406442
2010001A14Rik	0.0001	7.7488	0.98438	0.21575	0.960158	0.352902	0.0001	1.20977	1.01414	1.4223
2010001K21Rik	0.0842232	0.0001	0.828441	0.64705	0.698324	1.49951	0.0001	0.0001	4.13426	3.25083
2010001M07Rik	1.59844	0.0001	0.0001	0.0001	0.261934	0.264701	0.0001	0.0001	0.0781031	0.0001
2010003K11Rik	0.0001	0.0001	0.0001	0.4314	0.611046	0.0001	0.0001	0.0001	1.40416	1.4223
2010007H06Rik	2.86029	13.4113	0.218829	0.0001	0.0001	0.882105	2.40496	0.0001	0.780131	0.304856
2010009K17Rik	0.0001	0.0001	0.0001	0.0001	0.0001	0.176501	0.0001	0.0001	0.0001	2.03181
2010016I18Rik	1.0937	0.0001	0.109464	0.0001	0.0001	0.441102	0.0001	1.93558	2.4962	1.62547
2010103J01Rik	20.2738	0.0994423	0.0001	0.21575	0.087378	0.264701	0.0001	0.363002	6.78637	5.5873
2010106C02Rik	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.24815	1.11754
2010106E10Rik	0.0001	0.0001	0.0001	0.107925	0.0001	0.0001	0.0001	0.0001	4.44628	1.72705
2010109A12Rik	0.0001	0.0001	2.73421	5.06787	5.1495	0.352902	0.0001	1.20977	0.0001	0.0001
2010204K13Rik	0.0001	6.05998	3.82785	0.754875	1.74566	4.67473	4.90232	1.20977	2.34019	2.33656
2010300C02Rik	0.504839	0.0001	1.64057	0.0001	0.785602	1.58771	0.0001	0.121067	1.32615	1.4223
2010310C07Rik	0.0001	0.0001	0.875015	0.754875	0.960158	0.705704	0.0001	0.96784	0.0001	0.0001
2010315B03Rik	7.99181	17.385	0.546922	1.18617	3.22939	9.26115	8.6021	2.54042	2.18419	2.94608
2010320M18Rik	0.0001	7.94749	2.51548	3.34267	2.70572	3.61632	0.0001	0.604937	0.858134	3.35242
2200002D01Rik	149.658	21.458	12.1396	8.6261	9.07701	4.14552	28.211	16.5726	33.3074	21.4346
2210010C04Rik	0.0001	0.0001	0.875015	1.294	0.0001	0.0001	0.0001	0.121067	0.468119	0.0001
2210016F16Rik	3.28091	23.0475	7.9837	5.71482	4.01489	4.84503	32.8357	5.80654	8.73645	9.85388
2210016L21Rik	24.2276	16.5903	20.3419	25.1233	15.2737	18.6986	32.7432	13.3065	52.7302	31.2884
2210406H18Rik	0.0001	0.0001	0.656287	0.0001	0.43649	0.264701	0.0001	0.363002	0.0001	0.711198
2210406O10Rik	0.0001	0.0001	0.546922	0.8627	1.04744	0.0883005	3.23741	0.0001	8.03442	1.62547
2210407C18Rik	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.82864
2210408F21Rik	2.27143	3.47708	5.57769	3.77397	3.13049	11.6426	2.03498	1.93558	8.03442	4.8762
2210408I21Rik	0.0001	11.4245	1.31247	0.539225	1.83294	2.73431	3.14492	0.48397	1.87217	3.04766
2210418O10Rik	4.45863	0.0001	2.73421	1.7253	7.45706	5.97977	0.80084	2.17751	2.6522	2.15347
2300009A05Rik	0.0001	22.8489	7.9837	2.1566	3.75305	8.55554	1.57251	1.69364	3.27623	10.2602
2310001H17Rik	2.43967	20.564	1.42184	2.80355	2.18205	4.85113	0.0001	2.54042	0.780131	2.74291
2310002F09Rik	0.0001	0.0001	0.328193	0.0001	0.0001	0.441102	0.370078	0.96784	1.01414	0.0001
2310009B15Rik	1.93493	5.26524	0.546922	0.64705	0.349212	1.23491	4.06986	1.08881	0.936137	1.82864
2310010J17Rik	0.0001	8.64288	1.64057	0.4314	2.00749	1.32311	0.0001	2.05655	0.156106	2.03181
2310011J03Rik	3.95389	13.312	5.79641	4.3131	2.96755	4.32192	15.8167	3.14525	3.66625	5.38413
2310014F06Rik	0.0001	0.695496	0.546922	2.37225	1.65838	3.61632	0.0001	1.45171	4.60228	5.38413
2310015A10Rik	4.12214	31.4917	4.9215	8.30262	5.23678	5.90953	0.0001	2.54042	9.28247	13.8157
2310022A10Rik	0.925455	18.1798	6.67133	1.294	4.10217	4.32192	4.90231	2.90332	6.63037	3.454
2310022B05Rik	4.54275	35.0679	22.7479	18.2225	26.2708	12.1718	19.7939	26.9758	9.59448	6.90791
2310030G06Rik	0.0001	0.0001	0.0001	0.323575	1.65838	0.970305	0.0001	0.604937	0.624125	2.03181
2310033P09Rik	40.9681	31.889	25.9195	14.1252	13.0918	14.6414	18.499	10.2823	14.8207	11.784
2310039H08Rik	3.02854	15.3982	1.74993	1.294	0.785602	0.705704	3.05242	0.604937	0.312112	3.14925
2310040G07Rik	0.0001	0.0001	0.0001	0.0001	0.261934	0.264701	0.0001	0.0001	0.468119	0.0001
2310040G24Rik	0.0001	6.25867	0.0001	0.0001	0.0001	0.0883005	0.0001	0.0001	0.0001	0.0001
2310043M15Rik	0.0001	0.0001	0.0001	0.0001	0.523768	0.793904	0.0001	0.0001	4.60228	4.60289
2310043P16Rik	3.95389	0.0001	0.437558	0.107925	0.389707	0.558795	0.0001	0.121067	1.17015	0.0001
2310057M21Rik	11.8615	9.52621	9.29608	8.25325	12.3063	7.93814	12.1169	10.4033	4.29027	10.8697
2310058D17Rik	0.0001	0.0001	0.437558	0.107925	1.08734	0.0001	0.0001	0.0001	0.702128	0.0001
2310061I04Rik	1.26195	34.7698	4.81214	5.71483	4.01489	4.14552	5.1798	2.05655	5.69432	7.00949
2310068J16Rik	0.0001	0.0001	0.109464	0.8627	0.0001	0.0883005	0.0001	0.48397	1.63816	1.21912
2310069B03Rik	0.0001	5.66261	0.218829	0.4314	0.349212	0.0001	0.0001	0.0001	0.0001	0.0001
2410002F23Rik	0.337215	1.11644	1.53934	0.432124	0.000568371	1.25283	0.00123176	1.33718	14.4307	30.9837
2410004B18Rik	4.79513	12.3185	5.35896	4.09745	5.58589	1.41131	11.5619	3.87106	1.87217	2.94608
2410004I01Rik	0.0001	0.0001	1.20311	0.0001	0.523768	0.0883005	0.0001	0.0001	0.0001	0.0001
2410004P03Rik	0.0001	0.0001	3.0623	1.61747	1.39655	0.0001	0.0001	6.16944	0.234109	1.93022
2410006H16Rik	0.0001	0.0994423	9.18671	3.34267	4.01489	3.17532	14.5218	5.08073	2.88621	5.28254
2410012E07Rik	0.0001	0.0001	0.0001	0.0001	0.0001	0.793904	0.0001	0.96784	0.0001	0.0001
2410018L13Rik	0.0001	0.0001	0.437558	0.0474573	0.212989	3.23134	0.555068	0.363002	0.624125	1.36054
2410022M11Rik	6.56171	11.3251	0.437558	0.539225	0.0001	0.352902	0.0001	0.0001	0.858134	0.101685
2410080I02Rik	1.93493	0.0001	0.875015	0.970525	0.87288	1.23491	1.48001	2.29848	3.35423	8.12693
2410131K14Rik	0.0001	5.66261	5.79641	2.37225	3.22939	3.70452	3.97737	0.96784	1.87217	4.1651
2500002B13Rik	0.0001	0.0001	0.0001	0.970525	0.0001	0.0001	0.0925946	0.725905	0.0001	0.203271
2500004C02Rik	3.6174	0.894181	0.98438	0.754875	0.440613	1.67591	0.0001	0.604937	1.01414	0.609612
2510002D24Rik	10.2631	19.9679	8.63989	5.49917	3.92761	12.8726	10.452	1.57268	21.685	19.9109
2510009E07Rik	0.0001	6.55669	16.0767	13.6939	16.5829	10.8488	3.5149	10.4033	19.2669	11.5808
2510016D11Rik	0.588963	0.0001	0.437558	0.0001	0.0001	0.0001	0.0001	0.242035	0.0001	0.0001
2510017J16Rik	1.17783	0.0001	5.90578	4.09745	5.1495	2.29331	0.0925946	1.08881	2.65221	3.04766
2510039O18Rik	7.99181	28.114	18.9201	7.97915	12.7427	8.20274	16.5566	16.2097	10.0625	23.5679
2600002D14Rik	0.0001	4.07314	3.0623	0.539225	8.37879	2.11691	2.40496	3.62912	0.936137	1.21912
2600006K01Rik	0.0001	1.8876	0.0001	0.4314	0.87288	1.14671	0.0001	0.363002	0.546122	0.304856
2600014E21Rik	0.0001	0.0001	0.0001	0.754875	0.0001	0.882105	0.647562	0.0001	0.234109	1.4223
2610001A08Rik	0.0001	0.0001	8.42116	3.4505	7.76784	11.9072	2.31247	1.20977	2.88621	5.79047
2610001J05Rik	4.29039	34.4719	10.3897	4.85222	9.33885	12.1718	14.0593	6.89525	6.24035	11.9872
2610002M06Rik	0.0001	41.2272	6.56197	5.28352	7.50601	7.05614	7.12219	3.87106	3.19823	2.03181
2610005L07Rik	1.93493	0.0001	1.67046	3.57626	1.23014	3.39315	3.60739	1.83134	13.1906	18.4042
2610008E11Rik	15.5629	37.2535	8.62627	10.7826	9.77552	16.7869	10.3595	11.5466	18.0968	22.2473
2610011E03Rik	15.647	0.0001	12.6864	12.2921	17.7175	23.1086	0.0001	8.83072	7.09838	15.949
2610012C04Rik	0.0001	0.0001	0.765651	1.83312	0.0001	1.94051	0.0001	0.96784	0.936137	1.52388
